# No.	Zi	Source	IDC	Component A	Component B, or
# No.	Zi	Source	Single	IDC	Component.
# See `docs/lintelstat.py` for more details.
3264	嫀	GHT	⿰	女	秦
3265	嫁	GHTJKPV	⿰	女	家
3266	嫂	GHTKV	⿰	女	叟
3267	嫃	GHT	⿰	女	真
3268	嫄	GHTJKP	⿰	女	原
3269	嫅	GT	⿰	女	差
3270	嫆	GHTJK	⿰	女	容
3271	嫇	GHTP	⿰	女	冥
3272	嫈	GHTJKP	⿱	𤇾	女
3273	嫉	GHTJKP	⿰	女	疾
3274	嫊	GHTK	⿰	女	素
3275	嫋	GHTJKP	⿰	女	弱
3276	嫌	GHTJKPV	⿰	女	兼
3277	嫍	GHTK	⿰	女	舀
3278	嫎	GHT	⿰	女	旁
3279	嫏	GHMT	⿰	女	郎
3279	嫏	JK	⿰	女	郞
3281	嫑	GHT	⿱	不	要
3282	嫒	G	⿰	女	爱
3284	嫔	G	⿰	女	宾
3285	嫕	GHTKP	⿰	女	悘
3286	嫖	GHTJKPV	⿰	女	票
3287	嫗	GHTJKPV	⿰	女	區
3288	嫘	GHTKP	⿰	女	累
3289	嫙	GHTK	⿰	女	旋
3290	嫚	GHTJKP	⿰	女	曼
3291	嫛	GHTKP	⿱	殹	女
3292	嫜	GHTJKP	⿰	女	章
3293	嫝	GHTK	⿰	女	康
3294	嫞	GHTKP	⿰	女	庸
3295	嫟	GHTKP	⿰	女	匿
3296	嫠	GHTJKP	⿸	𠩺	女
3297	嫡	GHTJKPV	⿰	女	啇
3298	嫢	GHTKP	⿱	規	女
3299	嫣	GHTJKP	⿰	女	焉
3300	嫤	GHTK	⿰	女	堇
3301	嫥	GHTJKP	⿰	女	專
3302	嫦	GHTJKPV	⿰	女	常
3303	嫧	GTK	⿰	女	責
3304	嫨	GHTK	⿰	女	𦰩
3305	嫩	GHTJKPV	⿰	女	敕
3306	嫪	GHTJKP	⿰	女	翏
3307	嫫	GHTKP	⿰	女	莫
3308	嫬	GHTK	⿰	女	庶
3309	嫭	GHTKP	⿰	女	虖
3310	嫮	GHTJK	⿰	女	雩
3311	嫯	GT	⿱	敖	女
3312	嫰	GHTJP	⿰	女	欶
3313	嫱	G	⿰	女	啬
3314	嫲	GH	⿰	女	麻
3315	嫳	GHTKP	⿱	敝	女
3316	嫴	GHTKP	⿰	女	辜
3317	嫵	GHTJKP	⿰	女	無
3318	嫶	GHTJKP	⿰	女	焦
3319	嫷	GHTP	⿰	女	隋
3320	嫸	GHTKP	⿰	女	善
3321	嫹	G	⿰	女	黄
3321	嫹	HTK	⿰	女	黃
3322	嫺	GHTJKP	⿰	女	閒
3323	嫻	GHTJKP	⿰	女	閑
3324	嫼	GT	⿰	女	黑
3325	嫽	GHTJKP	⿰	女	尞
3326	嫾	GHT	⿰	女	粦
3327	嫿	GHTP	⿰	女	畫
3329	嬁	GHTJK	⿰	女	登
3330	嬂	GHTK	⿰	女	戠
3331	嬃	GHTKP	⿱	須	女
3332	嬄	GT	⿰	女	壹
3333	嬅	GHTKP	⿰	女	華
3334	嬆	GTK	⿰	女	翕
3335	嬇	GHT	⿰	女	貴
3336	嬈	GHTJKP	⿰	女	堯
3337	嬉	GHTJKP	⿰	女	喜
3339	嬋	GHTJKP	⿰	女	單
3340	嬌	GHTJKPV	⿰	女	喬
3341	嬍	GHT	⿰	女	𢽠
3343	嬏	GHTK	⿰	女	番
3344	嬐	GHTP	⿰	女	僉
3345	嬑	GHT	⿰	女	意
3346	嬒	GTKP	⿰	女	會
3347	嬓	GHTK	⿰	女	敫
3349	嬕	GHT	⿰	女	睪
3350	嬖	GHTJKPV	⿱	辟	女
3351	嬗	GHTJKP	⿰	女	亶
3352	嬘	GT	⿰	女	遂
3353	嬙	GHTJKP	⿰	女	嗇
3354	嬚	GHTK	⿰	女	廉
3355	嬛	GHTJKP	⿰	女	睘
3356	嬜	GT	⿱	歆	女
3357	嬝	GHT	⿰	女	裊
3358	嬞	GHT	⿰	女	董
3359	嬟	GHT	⿰	女	義
3360	嬠	GHTK	⿰	女	喿
3361	嬡	GHTJK	⿰	女	愛
3362	嬢	GTJKP	⿰	女	㐮
3363	嬣	GHTKP	⿰	女	寧
3364	嬤	GHT	⿰	女	麼
3365	嬥	GHTJKP	⿰	女	翟
3366	嬦	GHT	⿰	女	壽
3367	嬧	GHT	⿰	女	盡
3368	嬨	GHTKP	⿰	女	慈
3369	嬩	GT	⿰	女	與
3370	嬪	GHTJKP	⿰	女	賓
3371	嬫	GHT	⿰	女	榮
3372	嬬	GHTJKP	⿰	女	需
3373	嬭	GHTJKP	⿰	女	爾
3375	嬯	GHTKP	⿰	女	臺
3376	嬰	GHTJKPV	⿱	賏	女
3377	嬱	GT	⿱	漸	女
3379	嬳	GP	⿰	女	蒦
3381	嬵	GT	⿰	女	綿
3382	嬶	G	⿰	女	鼻
3383	嬷	GTKP	⿰	女	麽
3384	嬸	GHTJKPV	⿰	女	審
3385	嬹	GTK	⿰	女	興
3386	嬺	GTK	⿰	女	慝
3387	嬻	GTKP	⿰	女	賣
3388	嬼	GHTK	⿰	女	劉
3389	嬽	GHTK	⿰	女	𡚇
3390	嬾	GHTJK	⿰	女	賴
3391	嬿	GHTKP	⿰	女	燕
3392	孀	GHTJKPV	⿰	女	霜
3393	孁	GHTJ	⿱	霝	女
3394	孂	GTK	⿰	女	簋
3395	孃	GHTJKP	⿰	女	襄
3396	孄	GHT	⿰	女	闌
3397	孅	GHTJKP	⿰	女	韱
3398	孆	GHT	⿰	女	嬰
3399	孇	GHT	⿰	女	雙
3400	孈	GHTK	⿰	女	巂
3401	孉	GMT	⿰	女	雚
3402	孊	GHTP	⿰	女	靡
3403	孋	GHTJKP	⿰	女	麗
3404	孌	GHTJKP	⿱	䜌	女
3405	孍	GHTKP	⿰	女	嚴
3406	孎	GHTKP	⿰	女	屬
3407	孏	GHT	⿰	女	蘭
3410	孒	GTJKP	⿰	了	一
3412	孔	GHTJKPV	⿰	子	乚
3413	孕	GHTJKPV	⿵	乃	子
3414	孖	GHTJKP	⿰	子	子
3415	字	GHTJKPV	⿱	宀	子
3416	存	GHTJKPV	⿸	？	子
3417	孙	G	⿰	子	小
3418	孚	GHTJKP	⿱	爫	子
3419	孛	GHTJKPV	⿱	？	子
3421	孝	GHTJKPV	⿱	耂	子
3422	孞	GJ	⿱	子	心
3423	孟	GHTJKPV	⿱	子	皿
3424	孠	GT	⿱	司	子
3425	孡	GTK	⿰	子	台
3426	孢	GHTKP	⿰	子	包
3427	季	GHTJKPV	⿱	禾	子
3428	孤	GHTJKPV	⿰	子	瓜
3429	孥	GHTJKPV	⿱	奴	子
3430	学	GHTJK	⿱	𰃮	子
3431	孧	GT	⿱	幼	子
3432	孨	GHTJK	⿱	子	孖
3433	孩	GHTJKPV	⿰	子	亥
3434	孪	G	⿱	𰁜	子
3434	孪	T	⿱	亦	子
3435	孫	GHTJKP	⿰	子	系
3436	孬	GHTKP	⿱	不	好
3437	孭	GH	⿰	子	貝
3438	孮	GHTJKP	⿰	子	宗
3439	孯	GTJ	⿱	臤	子
3440	孰	GHTP	⿰	享	？
3440	孰	JK[V]	⿰	享	丸
3441	孱	GHTJKPV	⿸	尸	孨
3442	孲	GHTKP	⿰	子	亞
3443	孳	GHTJ	⿱	兹	子
3444	孴	GHTP	⿱	孨	日
3445	孵	GHTJKP	⿰	卵	孚
3446	孶	GHTK	⿱	茲	子
3446	孶	P	⿱	玆	子
3447	孷	GHT	⿸	𠩺	子
3448	學	GHTJKPV	⿱	𦥯	子
3449	孹	GT	⿱	辟	子
3450	孺	GHTJKPV	⿰	子	需
3451	孻	GHTKP	⿰	子	盡
3452	孼	GHJP	⿱	辥	子
3453	孽	GHTJKPV	⿱	艹	𫲲
3453	孽	X	⿱	薛	子
3454	孾	GTJKP	⿰	子	嬰
3455	孿	GHTJKP	⿱	䜌	子
3456	宀	GHTJKP	⿱	丶	冖
3457	宁	GHTJKPV	⿱	宀	丁
3458	宂	G	⿱	宀	几
3458	宂	H[M]T[J]KP[V][S]	⿱	宀	儿
3459	它	GHTJKPV	⿱	宀	匕
3460	宄	GHTJKP	⿱	宀	九
3461	宅	GHTJKPV	⿱	宀	乇
3462	宆	GTJ	⿱	宀	弓
3463	宇	GHTJKPV	⿱	宀	于
3464	守	GHTJKPV	⿱	宀	寸
3465	安	GHTJKPV	⿱	宀	女
3466	宊	GTJK	⿱	宀	犬
3467	宋	GHTJKPV	⿱	宀	木
3468	完	GHTJKPV	⿱	宀	元
3469	宍	GTJK	⿱	宀	六
3470	宎	GHTJKP	⿱	宀	夭
3471	宏	GHTJKP	⿱	宀	厷
3472	宐	GJP	⿱	宀	？
3473	宑	GJ	⿱	宀	井
3474	宒	GHT	⿱	宀	毛
3475	宓	GHTJKP	⿱	宀	必
3476	宔	GTJKP	⿱	宀	主
3477	宕	GHTJKP	⿱	宀	石
3478	宖	GHTJKP	⿱	宀	弘
3479	宗	GHTJKPV	⿱	宀	示
3480	官	GHJKPV	⿱	宀	㠯
3481	宙	GHTJKPV	⿱	宀	由
3482	定	GHTJKPV	⿱	宀	𤴓
3483	宛	GHTJKPV	⿱	宀	夗
3484	宜	GHTJKPV	⿱	宀	且
3485	宝	GHTJKPV	⿱	宀	玉
3486	实	GHTP	⿱	宀	头
3487	実	GHTJK	⿱	宀	𡗗
3488	宠	G	⿱	宀	龙
3489	审	G	⿱	宀	申
3490	客	GHTJKPV	⿱	宀	各
3491	宣	GHTJKPV	⿱	宀	亘
3492	室	GHTJKPV	⿱	宀	至
3493	宥	GHTJKP	⿱	宀	有
3494	宦	GHTJKPV	⿱	宀	臣
3495	宧	GHTP	⿱	宀	𦣞
3496	宨	GHTJK	⿱	宀	兆
3497	宩	GTJ	⿱	宀	米
3498	宪	GH	⿱	宀	先
3499	宫	GTV	⿱	宀	吕
3500	宬	GHTJKP	⿱	宀	成
3501	宭	GHTJKP	⿱	宀	君
3502	宮	GHTJKP	⿱	宀	呂
3503	宯	GTJ	⿱	宀	孝
3504	宰	GHTJKPV	⿱	宀	辛
3505	宱	GTJ	⿱	宀	作
3506	宲	GTJKP	⿱	宀	呆
3507	害	GPV	⿱	𫲸	口
3508	宴	GHTJKPV	⿱	宀	妟
3509	宵	GHTJKP	⿱	宀	肖
3510	家	GHTJKPV	⿱	宀	豕
3511	宷	GHTJK	⿱	宀	釆
3512	宸	GHTJKP	⿱	宀	辰
3513	容	GHTJKP	⿱	宀	谷
3514	宺	GTJ	⿱	宀	𠯚
3517	宽	G	⿱	宀	苋
3518	宾	GT	⿱	宀	兵
3519	宿	GHTJKPV	⿱	宀	佰
3520	寀	GHTJKP	⿱	宀	采
3521	寁	GHTJKP	⿱	宀	疌
3522	寂	GHTJKPV	⿱	宀	叔
3523	寃	GHTJP	⿱	宀	兔
3524	寄	GHTJKPV	⿱	宀	奇
3526	密	GHTJKPV	⿱	宓	山
3528	寈	GT	⿱	宀	青
3528	寈	Z	⿱	宀	靑
3529	寉	GJ	⿱	宀	隹
3530	寊	GHTK	⿱	宀	貞
3531	寋	GHTKP	⿱	𡨄	㔾
3532	富	GHTJKPV	⿱	宀	畐
3533	寍	GHTJKP	⿱	𫲽	皿
3533	寍	X	⿱	宀	𬐘
3535	寏	GTJK	⿱	宀	奐
3536	寐	GHTJKPV	⿱	宀	𱭏
3537	寑	GHTKP	⿱	宀	侵
3538	寒	GHTJ	⿱	𡨄	⺀
3538	寒	KPV	⿱	𡨄	冫
3539	寓	GHTJKPV	⿱	宀	禺
3540	寔	GHTJKPV	⿱	宀	是
3542	寖	GHTJKP	⿱	宀	浸
3543	寗	GHK	⿱	宓	冉
3544	寘	GHT	⿱	宀	真
3544	寘	JKP	⿱	宀	眞
3545	寙	GHTJKP	⿱	宀	㼌
3547	寛	GHTJK	⿱	宀	莧
3548	寜	GMT	⿱	寍	亅
3550	寞	GHTJKPV	⿱	宀	莫
3551	察	GHTJKPV	⿱	宀	祭
3552	寠	GHTJKPV	⿱	宀	婁
3553	寡	GHTJKPV	⿱	宀	𪟊
3554	寢	GHTJKP	⿱	宀	𭷆
3555	寣	GHTKP	⿱	宀	𪺞
3556	寤	GHTJKP	⿱	宀	𤕻
3557	寥	GHTJKPV	⿱	宀	翏
3558	實	GHTJKPV	⿱	宀	貫
3559	寧	GHTKP	⿱	寍	丁
3559	寧	J	⿱	𫲽	𦉬
3559	寧	X	⿱	𫲽	𰤲
3560	寨	GHTJKPV	⿱	𡨄	木
3561	審	GHTJKPV	⿱	宀	番
3562	寪	GKP	⿱	宀	爲
3562	寪	HT	⿱	宀	為
3563	寫	GHTJKV	⿱	宀	舄
3563	寫	P	⿱	宀	舃
3564	寬	GT	⿱	宀	萈
3565	寭	GMTK	⿱	宀	惠
3566	寮	GHTJKP	⿱	宀	尞
3567	寯	GHTJKP	⿱	宀	雋
3568	寰	GHTJKP	⿱	宀	睘
3570	寲	GHTK	⿱	宀	疑
3572	寴	GTJ	⿱	宀	親
3573	寵	GHTJKPV	⿱	宀	龍
3574	寶	GHTJKPV	⿱	𡩧	貝
3575	寷	GT	⿱	宀	豐
3576	寸	GHTJKPV	⿹	𬺰	丶
3577	对	GTKPV	⿰	又	寸
3578	寺	GHJKP	⿱	土	寸
3578	寺	T	⿱	士	寸
3579	寻	G	⿱	𫜹	寸
3580	导	G	⿱	巳	寸
3581	寽	GTJK	⿱	爫	寸
3581	寽	P	⿱	𱼀	寸
3582	対	GTJKP	⿰	文	寸
3583	寿	GHTJKPV	⿸	丰	寸
3584	尀	GTP	⿰	叵	寸
3585	封	GHTJKPV	⿰	圭	寸
3586	専	GJ	⿱	𤰔	寸
3587	尃	GHTJKP	⿱	甫	寸
3588	射	GHTJKPV	⿰	身	寸
3589	尅	GHTJKP	⿺	克	寸
3590	将	G	⿰	丬	𪧷
3590	将	TJKP	⿰	丬	寽
3591	將	P	⿰	爿	寽
3592	專	GHTJKPV	⿱	？	寸
3593	尉	GHTJKPV	⿰	𫵖	寸
3594	尊	GHTJKPV	⿱	酋	寸
3596	尌	GHTJKP	⿰	壴	寸
3598	導	GHTJKPV	⿱	道	寸
3600	尐	G	⿱	𡭔	㇝
3600	尐	H	⿱	小	乁
3600	尐	T	⿱	𡭔	乁
3600	尐	K	⿱	小	乀
3601	少	GTP	⿱	𡭔	㇒
3601	少	HJKV	⿱	小	㇒
3602	尒	P	⿱	入	小
3603	尓	GHTJK	⿱	𠂉	小
3605	尕	GHTK	⿱	乃	小
3606	尖	GTP[B]	⿱	𡭔	大
3606	尖	HJKV	⿱	小	大
3607	尗	GTJP	⿱	上	小
3608	尘	GT	⿱	𡭔	土
3608	尘	Z	⿱	小	土
3609	尙	GMTKPV	⿱	𡭔	冋
3610	尚	GHTJV	⿱	⺌	冋
3612	尜	GH	⿱	尖	小
3612	尜	X	⿱	𡭔	夵
3613	尝	G	⿱	龸	云
3614	尞	GHTJKP	⿱	昚	小
3615	尟	GHTJKP	⿺	是	少
3616	尠	GHTJKP	⿰	甚	少
3617	尡	GTK	⿰	光	昆
3618	尢	GHTJKP	⿸	𠂇	乚
3619	尣	GHTJK	⿱	八	儿
3620	尤	GHTJKP	⿺	尢	丶
3621	尥	GHTK	⿺	尢	勺
3622	尦	G	⿺	尣	勺
3623	尧	G	⿱	𭠍	兀
3624	尨	HTJ	⿺	尤	彡
3624	尨	KP	⿷	尤	彡
3625	尩	GTJP	⿺	尣	王
3626	尪	GHTKP	⿺	尢	王
3627	尫	GTJK	⿺	兀	王
3628	尬	GHTJKP	⿺	尢	介
3629	尭	GMTJ	⿱	卉	兀
3630	尮	GJ	⿺	尢	朶
3631	尯	GTK	⿺	尢	危
3632	尰	GHTJKP	⿺	尢	重
3633	就	GHTJKPV	⿰	京	尤
3634	尲	GJKP	⿺	尢	兼
3635	尳	GHT	⿺	尢	骨
3636	尴	G	⿺	尢	监
3637	尵	P	⿺	尣	貴
3638	尶	GTJK	⿺	兀	監
3639	尷	GHT	⿺	尢	監
3640	尸	GHTJKPV	⿰	丿	？
3642	尺	GHTJKPV	⿸	尸	㇏
3643	尻	GHTJKP	⿸	尸	九
3644	尼	GHTJKPV	⿸	尸	匕
3645	尽	GTJKPV	⿱	尺	⺀
3645	尽	X	⿵	尺	⺀
3646	尾	GHTJKPV	⿸	尸	毛
3647	尿	GHTJKP	⿸	尸	水
3649	屁	GHTJKP	⿸	尸	比
3650	层	G	⿸	尸	云
3651	屃	G	⿸	尸	贝
3652	屄	GHTK	⿸	尸	穴
3653	居	GHTJKPV	⿸	尸	古
3654	屆	GHTP	⿸	尸	凷
3654	屆	JK	⿸	尸	𠙽
3655	屇	GHTK	⿸	尸	田
3656	屈	GHTJKPV	⿸	尸	出
3657	屉	GHTKP	⿸	尸	世
3658	届	GHTJKP	⿸	尸	由
3659	屋	GHTJKPV	⿸	尸	至
3660	屌	GHTK	⿸	尸	吊
3661	屍	GHTJKPV	⿸	尸	死
3662	屎	GHTJKP	⿸	尸	米
3664	屐	GHTJKP	⿸	尸	𫹍
3665	屑	GHTJKP	⿸	尸	肖
3666	屒	GT	⿸	尸	辰
3667	屓	GHTJKP	⿸	尸	貝
3668	屔	GHTKP	⿰	丘	尼
3670	屖	GHTKP	⿸	尸	辛
3671	屗	GT	⿺	尾	寸
3672	屘	GHT	⿺	尾	子
3673	屙	GHTJKP	⿸	尸	阿
3674	屚	GTJP	⿸	尸	雨
3677	屝	GHTKP	⿸	尸	非
3678	属	GHTJK	⿸	尸	禹
3679	屟	GTJ	⿸	尸	枼
3680	屠	GHTKPV[B]	⿸	尸	者
3681	屡	GTJK	⿸	尸	娄
3682	屢	GHTJKPV	⿸	尸	婁
3683	屣	GHTJKP	⿸	尸	徙
3684	層	GHTKPV	⿸	尸	曾
3684	層	J	⿸	尸	曽
3685	履	GHTJKPV	⿸	尸	復
3689	屩	GHTJKP	⿸	尸	𢕪
3690	屪	GHTKP	⿸	尸	寮
3693	屭	GHTJKP	⿸	尸	贔
3696	屰	GTJK	⿱	䒑	䶹
3697	山	GHTJKPV	⿶	凵	丨
3698	屲	G	⿱	㇒	山
3699	屳	GHTKP	⿱	入	山
3700	屴	GHTJKP	⿱	山	力
3701	屵	GTJ	⿱	山	厂
3702	屶	GJ	⿱	山	刀
3703	屷	GT	⿰	山	乃
3704	屸	GHT	⿰	山	工
3705	屹	GHTJKPV	⿰	山	乞
3706	屺	GHTJKP	⿰	山	己
3707	屻	GHTJK	⿰	山	刃
3708	屼	GHTJKP	⿰	山	兀
3709	屽	GTJ	⿰	山	干
3710	屾	GHTK	⿰	山	山
3711	屿	G	⿰	山	与
3712	岀	GT	⿱	山	山
3713	岁	GTK	⿱	山	夕
3714	岂	G	⿱	山	己
3715	岃	GHM	⿱	山	刃
3716	岄	GMT	⿰	山	月
3717	岅	GHTP	⿰	山	反
3718	岆	GHT	⿰	山	夭
3719	岇	GTJ	⿱	山	卬
3720	岈	GHTJK	⿰	山	牙
3721	岉	GHTKP	⿰	山	勿
3722	岊	GHTJKP	⿱	巴	山
3723	岋	GHTP	⿰	山	及
3724	岌	GHTJKPV	⿱	山	及
3725	岍	GHMTK	⿰	山	开
3725	岍	P	⿰	山	幵
3726	岎	GTKP	⿰	山	分
3727	岏	GHTJKP	⿰	山	元
3728	岐	GHTJKP	⿰	山	支
3729	岑	GHTJKPV	⿱	山	今
3730	岒	GHTJK	⿰	山	今
3731	岓	GHTK	⿰	山	斤
3732	岔	GHTJKP	⿱	分	山
3733	岕	GHTK	⿱	山	介
3734	岖	G	⿰	山	区
3735	岗	GT	⿱	山	冈
3736	岘	G	⿰	山	见
3737	岙	GHT	⿱	夭	山
3738	岚	GH	⿱	山	风
3739	岛	G	⿹	？	山
3740	岜	GHT	⿱	山	巴
3741	岝	GHTJKP	⿱	山	乍
3742	岞	GHTP	⿰	山	乍
3743	岟	GHTJKP	⿰	山	央
3744	岠	GHTJKP	⿰	山	巨
3745	岡	GHTJKP	⿵	𦉰	山
3746	岢	GHTJKP	⿱	山	可
3747	岣	GHTJKP	⿰	山	句
3748	岤	GHTKP	⿰	山	穴
3749	岥	GHTKP	⿰	山	皮
3750	岦	GHTJKP	⿱	山	立
3751	岧	GHTJKPV	⿱	山	召
3752	岨	GHTJKP	⿰	山	且
3753	岩	GHTJKPV	⿱	山	石
3754	岪	GHTJKP	⿱	山	弗
3755	岫	GHTJKP	⿰	山	由
3756	岬	GHTJKP	⿰	山	甲
3757	岭	GHMTJKP	⿰	山	令
3758	岮	GHTP	⿰	山	它
3759	岯	GHTKP	⿰	山	丕
3760	岰	GHTKP	⿰	山	幼
3761	岱	GHTJKPV	⿱	代	山
3762	岲	GTJ	⿰	山	兄
3763	岳	GHTJKP	⿱	丘	山
3764	岴	GTJK	⿰	山	丘
3765	岵	GHTJKPV	⿰	山	古
3766	岶	GHTJK	⿰	山	白
3767	岷	GHTJKP	⿰	山	民
3768	岸	GHTJKPV	⿱	山	厈
3769	岹	GTKP	⿰	山	召
3770	岺	GHTJK	⿱	山	令
3771	岻	GTJK	⿰	山	氐
3772	岼	GJ	⿰	山	平
3773	岽	G	⿱	山	东
3774	岾	GJKP	⿰	山	占
3775	岿	G	⿱	山	归
3776	峀	GKP	⿱	山	由
3776	峀	T	⿱	山	田
3777	峁	GHT	⿱	山	卯
3778	峂	GH	⿰	山	冬
3779	峃	G	⿱	𰃮	山
3780	峄	G	⿰	山	𠬤
3781	峅	GJ	⿰	山	弁
3782	峆	GHTKP	⿰	山	合
3783	峇	GHTJKP	⿱	山	合
3784	峈	GHTK	⿰	山	各
3785	峉	GHTJKP	⿱	山	各
3786	峊	GHTK	⿱	𠂤	山
3787	峋	GHTJKP	⿰	山	旬
3788	峌	GHT	⿰	山	至
3789	峍	GTP	⿰	山	聿
3790	峎	GHT	⿱	山	艮
3791	峏	GHT	⿰	山	而
3792	峐	GHTJKP	⿰	山	亥
3793	峑	GHT	⿱	山	全
3794	峒	GHTJKP	⿰	山	同
3795	峓	GHTKP	⿰	山	夷
3796	峔	GHT	⿰	山	老
3797	峕	GHT	⿱	山	𣅀
3798	峖	GHT	⿰	山	安
3799	峗	GHTJKP	⿰	山	危
3800	峘	GHTKP	⿰	山	亘
3801	峙	GHTJKP	⿰	山	寺
3802	峚	GHTP	⿱	山	圶
3803	峛	GHTKP	⿱	山	列
3804	峜	GT	⿱	山	企
3805	峝	GTJ	⿱	山	同
3806	峞	GHTK	⿱	山	危
3807	峟	GHT	⿱	山	有
3808	峠	GJKP	⿰	山	𠧗
3809	峡	GTJP	⿰	山	夹
3810	峢	GT	⿰	山	列
3811	峣	G	⿰	山	尧
3812	峤	G	⿰	山	乔
3813	峥	GHTK	⿰	山	争
3814	峦	GP	⿱	𰁜	山
3814	峦	T	⿱	亦	山
3815	峧	G	⿰	山	交
3816	峨	GHTJKP	⿰	山	我
3817	峩	GHTJKP	⿱	山	我
3818	峪	GHTJKP	⿰	山	谷
3819	峫	GT	⿰	山	邪
3820	峬	GHTK	⿰	山	甫
3821	峭	GHTJKP	⿰	山	肖
3822	峮	GHTJK	⿰	山	君
3823	峯	GHTJKP	⿱	山	夆
3824	峰	GHTJKP	⿰	山	夆
3826	峲	GTJ	⿱	山	利
3827	峳	GT	⿱	山	攸
3828	峴	GHTJKP	⿰	山	見
3829	峵	GHTKP	⿰	山	宏
3830	島	GHTJKPV	⿹	？	山
3831	峷	GHT	⿱	山	辛
3832	峸	GHT	⿰	山	成
3833	峹	GHTKP	⿱	余	山
3834	峺	GTJK	⿰	山	更
3835	峻	GHTJKP	⿰	山	夋
3836	峼	GTKP	⿰	山	告
3836	峼	H	⿰	山	吿
3837	峽	GHTJKPV	⿰	山	夾
3838	峾	GTP	⿱	沂	山
3839	峿	GHTKP	⿰	山	吾
3840	崀	GHTK	⿱	山	良
3841	崁	GHTJK	⿱	山	坎
3842	崂	G	⿰	山	劳
3843	崃	G	⿰	山	来
3844	崄	G	⿰	山	佥
3845	崅	G	⿰	山	角
3846	崆	GHTJKP	⿰	山	空
3847	崇	GHTJKPV	⿱	山	宗
3848	崈	GTP	⿱	宗	山
3849	崉	GTP	⿰	山	沓
3850	崊	GTV	⿰	山	林
3851	崋	GHTJKP	⿱	山	？
3852	崌	GHT	⿰	山	居
3853	崍	GHTJKP	⿰	山	來
3854	崎	GHTJKP	⿰	山	奇
3855	崏	GHTK	⿰	山	昏
3856	崐	GHTJKP	⿰	山	昆
3857	崑	GHTJKPV	⿱	山	昆
3858	崒	GHTJKPV	⿱	山	卒
3859	崓	GTKP	⿰	山	固
3860	崔	GHTJKPV	⿱	山	隹
3861	崕	GHTJK	⿰	山	厓
3862	崖	GHTJKPV	⿱	山	厓
3863	崗	GHTJKP	⿱	山	岡
3864	崘	GHTJKP	⿰	山	侖
3865	崙	GHTJKPV	⿱	山	侖
3866	崚	GHTJKP	⿰	山	夌
3867	崛	GHTJKP	⿰	山	屈
3868	崜	GT	⿰	山	垂
3869	崝	GHTP	⿰	山	青
3869	崝	JK	⿰	山	靑
3870	崞	GHTK	⿰	山	享
3871	崟	GHTJKP	⿱	山	金
3872	崠	GHTJKP	⿰	山	東
3873	崡	GT	⿰	山	函
3874	崢	GHTJKPV	⿰	山	爭
3875	崣	GHTJK	⿱	山	委
3876	崤	GHTJKP	⿰	山	肴
3877	崥	GHTK	⿰	山	卑
3878	崦	GHTJKP	⿰	山	奄
3879	崧	GHTJKP	⿱	山	松
3880	崨	GHTKP	⿰	山	疌
3881	崩	GHTJKPV	⿱	山	朋
3882	崪	GTP	⿰	山	卒
3883	崫	GTJ	⿱	山	屈
3884	崬	GHT	⿱	山	東
3885	崭	G	⿱	山	斩
3886	崮	GHT	⿱	山	固
3887	崯	GHT	⿰	山	金
3888	崰	GHTK	⿰	山	甾
3889	崱	GHTJKP	⿱	山	則
3890	崲	GHTK	⿰	山	皇
3891	崳	GHT	⿰	山	俞
3891	崳	K	⿰	山	兪
3892	崴	GHTJKP	⿱	山	威
3893	崵	GHTK	⿰	山	昜
3894	崶	GHTKP	⿱	山	封
3895	崷	GHTP	⿰	山	酋
3896	崸	GHTK	⿰	山	頁
3897	崹	GHTJK	⿰	山	帝
3898	崺	GHTP	⿱	山	施
3899	崻	GT	⿰	山	待
3900	崼	GHTK	⿰	山	是
3901	崽	GHTJKP	⿱	山	思
3902	崾	GHT	⿰	山	要
3903	崿	GHTJK	⿰	山	咢
3904	嵀	GHTK	⿱	山	柱
3905	嵁	GHTKPV	⿰	山	甚
3906	嵂	GHTJKP	⿱	山	律
3907	嵃	G	⿰	山	彦
3907	嵃	HTJKP	⿰	山	彥
3908	嵄	GTK	⿰	山	美
3909	嵅	GHT	⿱	山	咸
3910	嵆	GHTJKP	⿱	𮂱	山
3912	嵈	GHTJK	⿰	山	爰
3913	嵉	GHTK	⿰	山	亭
3914	嵊	GHTJKP	⿰	山	乘
3915	嵋	GHTJKPV	⿰	山	眉
3916	嵌	GHTJKPV	⿱	山	𣢟
3917	嵍	GT	⿱	敄	山
3918	嵎	GHTJKPV	⿰	山	禺
3919	嵏	GTKP	⿱	山	㚇
3920	嵐	GHTJKP	⿱	山	風
3921	嵑	GHTJK	⿰	山	曷
3923	嵓	GTJKP	⿱	山	品
3924	嵔	GTKP	⿱	山	畏
3925	嵕	GHTJKP	⿰	山	㚇
3926	嵖	GHT	⿰	山	查
3928	嵘	G	⿰	山	荣
3929	嵙	GHTJ	⿱	山	科
3930	嵚	G	⿱	山	钦
3931	嵛	GHT	⿱	山	俞
3932	嵜	GJ	⿱	山	竒
3933	嵝	G	⿰	山	娄
3934	嵞	GHTK	⿱	余	屾
3935	嵟	GTJ	⿸	屵	隹
3936	嵠	GTJKP	⿰	山	奚
3937	嵡	GTJ	⿱	山	翁
3938	嵢	GHTJK	⿰	山	倉
